id,process_date,avg_price,min_price,max_price
97,20210408,8165111000000000000000,13550000000000000000000,9999000000000000000000
98,20210409,7712000000000000000000,6285000000000000000000,8888000000000000000000
99,20210410,11049500000000000000000,23000000000000000000000,7200000000000000000000
100,20210411,10806125000000000000000,11499000000000000000000,9900000000000000000000
101,20210412,7227889000000000000000,10000000000000000000000,8500000000000000000000
102,20210413,6030200000000000000000,3988000000000000000000,9900000000000000000000
103,20210414,5945857000000000000000,4550000000000000000000,9999000000000000000000
104,20210415,5324500000000000000000,4999000000000000000000,5500000000000000000000
105,20210416,5575882000000000000000,4399000000000000000000,8750000000000000000000
106,20210417,5445375000000000000000,10450000000000000000000,5666000000000000000000
107,20210418,9930455000000000000000,11994000000000000000000,9800000000000000000000
108,20210419,7099833000000000000000,4699000000000000000000,9000000000000000000000
109,20210420,7173250000000000000000,11997000000000000000000,6499000000000000000000
110,20210421,4824000000000000000000,4000000000000000000000,5999000000000000000000
111,20210422,5829667000000000000000,11990000000000000000000,6400000000000000000000
112,20210423,6227222000000000000000,14000000000000000000000,8888000000000000000000
113,20210424,5887100000000000000000,3999000000000000000000,9999000000000000000000
114,20210425,5445083000000000000000,3998000000000000000000,7900000000000000000000
115,20210426,5444000000000000000000,4499000000000000000000,6700000000000000000000
116,20210427,7018400000000000000000,13489000000000000000000,8500000000000000000000
117,20210428,5967810000000000000000,11997000000000000000000,9500000000000000000000
118,20210429,5533000000000000000000,4399000000000000000000,7200000000000000000000
119,20210430,6595400000000000000000,4100000000000000000000,9990000000000000000000
120,20210501,4613600000000000000000,4100000000000000000000,5380000000000000000000
121,20210502,5232200000000000000000,10000000000000000000000,6100000000000000000000
122,20210503,4273333000000000000000,4111000000000000000000,4487000000000000000000
123,20210504,6458222000000000000000,4399000000000000000000,9800000000000000000000
124,20210505,6573200000000000000000,4299000000000000000000,9750000000000000000000
125,20210506,5757800000000000000000,3790000000000000000000,8800000000000000000000
126,20210507,3832667000000000000000,3699000000000000000000,4000000000000000000000
127,20210508,5377333000000000000000,3988000000000000000000,7499000000000000000000
128,20210509,5471500000000000000000,3990000000000000000000,7900000000000000000000
129,20210511,6060625000000000000000,4699000000000000000000,8800000000000000000000
130,20210512,6226286000000000000000,3980000000000000000000,9700000000000000000000
131,20210513,6596833000000000000000,10000000000000000000000,9000000000000000000000
132,20210514,6249750000000000000000,10999000000000000000000,5900000000000000000000
133,20210515,4520500000000000000000,4050000000000000000000,4991000000000000000000
134,20210516,5556400000000000000000,4000000000000000000000,7500000000000000000000
